plot,plot_section,plot_section_label,interval_order,month_start,month_end,species,n_start,n_survived,n_died,percent_survival,percent_survival_low,percent_survival_high,interval_label
Plot E,1-1,Plot E 1-1,5,September,October,Orbicella sp.,2,1,1,50,1.2579117093425058,98.74208829065749,September to October
Plot E,1-1,Plot E 1-1,6,October,November,Acropora palmata,6,6,0,100,54.074187356009965,100,October to November
Plot E,1-1,Plot E 1-1,6,October,November,Orbicella annularis,23,23,0,100,85.18148710847757,100,October to November
Plot E,1-1,Plot E 1-1,6,October,November,Orbicella faveolata,3,3,0,100,29.240177382128667,100,October to November
Plot E,1-1,Plot E 1-1,6,October,November,Orbicella franksi,18,18,0,100,81.46980318621478,100,October to November
Plot E,1-1,Plot E 1-1,6,October,November,Orbicella sp.,1,1,0,100,2.500000000000002,100,October to November
Plot E,1-1,Plot E 1-1,7,November,December,Acropora palmata,6,6,0,100,54.074187356009965,100,November to December
Plot E,1-1,Plot E 1-1,7,November,December,Orbicella annularis,23,23,0,100,85.18148710847757,100,November to December
Plot E,1-1,Plot E 1-1,7,November,December,Orbicella faveolata,3,3,0,100,29.240177382128667,100,November to December
Plot E,1-1,Plot E 1-1,7,November,December,Orbicella franksi,18,18,0,100,81.46980318621478,100,November to December
Plot E,1-1,Plot E 1-1,7,November,December,Orbicella sp.,3,3,0,100,29.240177382128667,100,November to December
Plot E,1-1,Plot E 1-1,8,December,January,Acropora palmata,6,6,0,100,54.074187356009965,100,December to January
Plot E,1-1,Plot E 1-1,8,December,January,Orbicella annularis,23,23,0,100,85.18148710847757,100,December to January
Plot E,1-1,Plot E 1-1,8,December,January,Orbicella faveolata,3,3,0,100,29.240177382128667,100,December to January
Plot E,1-1,Plot E 1-1,8,December,January,Orbicella franksi,18,18,0,100,81.46980318621478,100,December to January
Plot E,1-1,Plot E 1-1,8,December,January,Orbicella sp.,3,3,0,100,29.240177382128667,100,December to January
Plot G,0-0,Plot G 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot G,0-0,Plot G 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot G,0-0,Plot G 0-0,2,April,May,Orbicella annularis,8,8,0,100,63.05833524471808,100,April to May
Plot G,0-0,Plot G 0-0,2,April,May,Porites porites,13,13,0,100,75.29473619995291,100,April to May
Plot G,0-0,Plot G 0-0,3,May,August,Orbicella annularis,8,8,0,100,63.05833524471808,100,May to August
Plot G,0-0,Plot G 0-0,3,May,August,Porites porites,13,13,0,100,75.29473619995291,100,May to August
Plot G,0-1,Plot G 0-1,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot G,0-1,Plot G 0-1,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot G,0-1,Plot G 0-1,2,April,May,Orbicella annularis,1,1,0,100,2.500000000000002,100,April to May
Plot G,0-1,Plot G 0-1,2,April,May,Porites porites,2,2,0,100,15.811388300841905,100,April to May
Plot G,0-1,Plot G 0-1,3,May,August,Orbicella annularis,1,1,0,100,2.500000000000002,100,May to August
Plot G,0-1,Plot G 0-1,3,May,August,Porites porites,2,2,0,100,15.811388300841905,100,May to August
Plot G,1-0,Plot G 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot G,1-0,Plot G 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot G,1-0,Plot G 1-0,2,April,May,Orbicella annularis,9,9,0,100,66.37328831200571,100,April to May
Plot G,1-0,Plot G 1-0,2,April,May,Porites porites,12,12,0,100,73.53515306029489,100,April to May
Plot G,1-0,Plot G 1-0,3,May,August,Orbicella annularis,8,8,0,100,63.05833524471808,100,May to August
Plot G,1-0,Plot G 1-0,3,May,August,Porites porites,12,12,0,100,73.53515306029489,100,May to August
Plot H,0-0,Plot H 0-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot H,0-0,Plot H 0-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot H,0-0,Plot H 0-0,2,April,May,Orbicella annularis,4,4,0,100,39.763536438352546,100,April to May
Plot H,0-0,Plot H 0-0,2,April,May,Porites porites,4,4,0,100,39.763536438352546,100,April to May
Plot H,0-0,Plot H 0-0,3,May,August,Orbicella annularis,4,4,0,100,39.763536438352546,100,May to August
Plot H,0-0,Plot H 0-0,3,May,August,Porites porites,4,4,0,100,39.763536438352546,100,May to August
Plot H,0-1,Plot H 0-1,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot H,0-1,Plot H 0-1,2,April,May,Orbicella annularis,3,3,0,100,29.240177382128667,100,April to May
Plot H,0-1,Plot H 0-1,3,May,August,Orbicella annularis,3,3,0,100,29.240177382128667,100,May to August
Plot H,1-0,Plot H 1-0,1,November,April,Orbicella annularis,0,0,0,NA,NA,NA,November to April
Plot H,1-0,Plot H 1-0,1,November,April,Porites porites,0,0,0,NA,NA,NA,November to April
Plot H,1-0,Plot H 1-0,2,April,May,Orbicella annularis,12,12,0,100,73.53515306029489,100,April to May
Plot H,1-0,Plot H 1-0,2,April,May,Porites porites,18,18,0,100,81.46980318621478,100,April to May
Plot H,1-0,Plot H 1-0,3,May,August,Orbicella annularis,13,11,2,84.61538461538461,54.55289443234423,98.07933280174716,May to August
Plot H,1-0,Plot H 1-0,3,May,August,Porites porites,18,18,0,100,81.46980318621478,100,May to August
